filename, language, YAML, Python, JSON, CSV, Jupyter, comment, blank, total
c:\Users\mmitk\Documents\School\2020\AI\project\env.yml, YAML, 23, 0, 0, 0, 0, 0, 0, 23
c:\Users\mmitk\Documents\School\2020\AI\project\src\__init__.py, Python, 0, 1, 0, 0, 0, 0, 0, 1
c:\Users\mmitk\Documents\School\2020\AI\project\src\board.py, Python, 0, 10, 0, 0, 0, 0, 5, 15
c:\Users\mmitk\Documents\School\2020\AI\project\src\eval.py, Python, 0, 100, 0, 0, 0, 3, 11, 114
c:\Users\mmitk\Documents\School\2020\AI\project\src\game.py, Python, 0, 26, 0, 0, 0, 19, 9, 54
c:\Users\mmitk\Documents\School\2020\AI\project\src\history.json, JSON, 0, 0, 2, 0, 0, 0, 3, 5
c:\Users\mmitk\Documents\School\2020\AI\project\src\history_old.csv, CSV, 0, 0, 0, 1501, 0, 0, 1502, 3003
c:\Users\mmitk\Documents\School\2020\AI\project\src\mcts.py, Python, 0, 91, 0, 0, 0, 12, 12, 115
c:\Users\mmitk\Documents\School\2020\AI\project\src\models\model.py, Python, 0, 115, 0, 0, 0, 4, 41, 160
c:\Users\mmitk\Documents\School\2020\AI\project\src\search.py, Python, 0, 107, 0, 0, 0, 14, 18, 139
c:\Users\mmitk\Documents\School\2020\AI\project\src\util.py, Python, 0, 91, 0, 0, 0, 24, 13, 128
c:\Users\mmitk\Documents\School\2020\AI\project\test\.ipynb_checkpoints\DataBuilding-checkpoint.ipynb, Jupyter, 0, 0, 0, 0, 1863, 0, 1, 1864
c:\Users\mmitk\Documents\School\2020\AI\project\test\.ipynb_checkpoints\model_testing-checkpoint.ipynb, Jupyter, 0, 0, 0, 0, 862, 0, 1, 863
c:\Users\mmitk\Documents\School\2020\AI\project\test\.ipynb_checkpoints\test-checkpoint.ipynb, Jupyter, 0, 0, 0, 0, 1038, 0, 1, 1039
c:\Users\mmitk\Documents\School\2020\AI\project\test\DataBuilding.ipynb, Jupyter, 0, 0, 0, 0, 995, 0, 1, 996
c:\Users\mmitk\Documents\School\2020\AI\project\test\data-serialized.csv, CSV, 0, 0, 0, 2401, 0, 0, 241, 2642
c:\Users\mmitk\Documents\School\2020\AI\project\test\data.csv, CSV, 0, 0, 0, 61, 0, 0, 1, 62
c:\Users\mmitk\Documents\School\2020\AI\project\test\data_serialized.csv, CSV, 0, 0, 0, 2401, 0, 0, 241, 2642
c:\Users\mmitk\Documents\School\2020\AI\project\test\model_testing.ipynb, Jupyter, 0, 0, 0, 0, 903, 0, 1, 904
c:\Users\mmitk\Documents\School\2020\AI\project\test\test.ipynb, Jupyter, 0, 0, 0, 0, 1038, 0, 1, 1039
c:\Users\mmitk\Documents\School\2020\AI\project\test\test_data1.csv, CSV, 0, 0, 0, 61, 0, 0, 1, 62
c:\Users\mmitk\Documents\School\2020\AI\project\test\test_format1.csv, CSV, 0, 0, 0, 61, 0, 0, 1, 62
Total, -, 23, 541, 2, 6486, 6699, 76, 2105, 15932
