input,target
b'rnbqkbr1/pppppppp/5n2/8/8/7N/PPPPPPPP/RNBQKB1R w KQq - 3 3',-40
b'r1bqkb1r/pppppppp/2n2n2/8/8/7N/PPPPPPPP/RNBQKB1R w KQkq - 3 3',-90
b'rnbqkbr1/pppppppp/5n2/8/8/7N/PPPPPPPP/RNBQKB1R w KQq - 3 3',-40
b'rnbqkbr1/pppppppp/5n2/8/8/7N/PPPPPPPP/RNBQKB1R w KQq - 3 3',-40
b'rnbqkbr1/pppppppp/5n2/8/8/7N/PPPPPPPP/RNBQKB1R w KQq - 3 3',-40
b'r1bqkb1r/pppppppp/2n2n2/8/8/7N/PPPPPPPP/RNBQKB1R w KQkq - 3 3',-90
b'r1bqkb1r/pppppppp/2n2n2/8/8/7N/PPPPPPPP/RNBQKB1R w KQkq - 3 3',-90
b'r1bqkb1r/pppppppp/2n2n2/8/8/7N/PPPPPPPP/RNBQKB1R w KQkq - 3 3',-90
b'rnbqkbr1/pppppppp/5n2/8/8/7N/PPPPPPPP/RNBQKB1R w KQq - 3 3',-40
b'rnbqkbr1/pppppppp/5n2/8/8/7N/PPPPPPPP/RNBQKB1R w KQq - 3 3',-40
b'rnbqkbr1/pppppppp/5n2/8/8/7N/PPPPPPPP/RNBQKB1R w KQq - 3 3',-40
b'rnbqkbr1/pppppppp/5n2/8/8/7N/PPPPPPPP/RNBQKB1R w KQq - 3 3',-40
b'rnbqkbr1/pppppppp/5n2/8/8/7N/PPPPPPPP/RNBQKB1R w KQq - 3 3',-40
b'rnbqkbr1/pppppppp/5n2/8/8/7N/PPPPPPPP/RNBQKB1R w KQq - 3 3',-40
b'r1bqkb1r/pppppppp/2n2n2/8/8/7N/PPPPPPPP/RNBQKB1R w KQkq - 3 3',-90
b'r1bqkb1r/pppppppp/2n2n2/8/8/7N/PPPPPPPP/RNBQKB1R w KQkq - 3 3',-90
b'r1bqkb1r/pppppppp/2n2n2/8/8/7N/PPPPPPPP/RNBQKB1R w KQkq - 3 3',-90
b'r1bqkb1r/pppppppp/2n2n2/8/8/7N/PPPPPPPP/RNBQKB1R w KQkq - 3 3',-90
b'r1bqkb1r/pppppppp/2n2n2/8/8/7N/PPPPPPPP/RNBQKB1R w KQkq - 3 3',-90
b'r1bqkb1r/pppppppp/2n2n2/8/8/7N/PPPPPPPP/RNBQKB1R w KQkq - 3 3',-90
b'rnbqkbr1/pppppppp/5n2/8/8/7N/PPPPPPPP/RNBQKB1R w KQq - 3 3',-40
b'rnbqkbr1/pppppppp/5n2/8/8/7N/PPPPPPPP/RNBQKB1R w KQq - 3 3',-40
b'rnbqkbr1/pppppppp/5n2/8/8/7N/PPPPPPPP/RNBQKB1R w KQq - 3 3',-40
b'rnbqkbr1/pppppppp/5n2/8/8/7N/PPPPPPPP/RNBQKB1R w KQq - 3 3',-40
b'r1bqkb1r/pppppppp/2n2n2/8/8/7N/PPPPPPPP/RNBQKB1R w KQkq - 3 3',-90
b'rnbqkbr1/pppppppp/5n2/8/8/7N/PPPPPPPP/RNBQKB1R w KQq - 3 3',-40
b'rnbqkbr1/pppppppp/5n2/8/8/7N/PPPPPPPP/RNBQKB1R w KQq - 3 3',-40
b'rnbqkbr1/pppppppp/5n2/8/8/7N/PPPPPPPP/RNBQKB1R w KQq - 3 3',-40
b'rnbqkbr1/pppppppp/5n2/8/8/7N/PPPPPPPP/RNBQKB1R w KQq - 3 3',-40
b'rnbqkbr1/pppppppp/5n2/8/8/7N/PPPPPPPP/RNBQKB1R w KQq - 3 3',-40
b'rnbqkbr1/pppppppp/5n2/8/8/7N/PPPPPPPP/RNBQKB1R w KQq - 3 3',-40
b'r1bqkb1r/pppppppp/2n2n2/8/8/7N/PPPPPPPP/RNBQKB1R w KQkq - 3 3',-90
b'r1bqkb1r/pppppppp/2n2n2/8/8/7N/PPPPPPPP/RNBQKB1R w KQkq - 3 3',-90
