{'state': 'rnbqkbnr/pppppppp/8/8/8/2N5/PPPPPPPP/R1BQKBNR b KQkq - 1 1', 'move1': Move.from_uci('b1c3')}
{'state': 'rnbqkbnr/ppp1pppp/8/3p4/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 0 2', 'move2': Move.from_uci('d7d5')}
{'state': 'rnbqkbnr/ppp1pppp/8/3p4/8/2N5/PPPPPPPP/1RBQKBNR b Kkq - 1 2', 'move1': Move.from_uci('a1b1')}
{'state': 'rnbqkbnr/ppp1pppp/8/8/3p4/2N5/PPPPPPPP/1RBQKBNR w Kkq - 0 3', 'move2': Move.from_uci('d5d4')}
{'state': 'rnbqkbnr/ppp1pppp/8/8/P2p4/2N5/1PPPPPPP/1RBQKBNR b Kkq - 0 3', 'move1': Move.from_uci('a2a4')}
{'state': 'rnbqkbnr/ppp1pppp/8/8/P7/2p5/1PPPPPPP/1RBQKBNR w Kkq - 0 4', 'move2': Move.from_uci('d4c3')}
{'state': 'rnbqkbnr/ppp1pppp/8/8/PP6/2p5/2PPPPPP/1RBQKBNR b Kkq - 0 4', 'move1': Move.from_uci('b2b4')}
{'state': 'rnbqkb1r/ppp1pppp/5n2/8/PP6/2p5/2PPPPPP/1RBQKBNR w Kkq - 1 5', 'move2': Move.from_uci('g8f6')}
{'state': 'rnbqkb1r/ppp1pppp/5n2/8/PP1P4/2p5/2P1PPPP/1RBQKBNR b Kkq - 0 5', 'move1': Move.from_uci('d2d4')}
{'state': 'rnbqkb1r/ppp2ppp/5n2/4p3/PP1P4/2p5/2P1PPPP/1RBQKBNR w Kkq - 0 6', 'move2': Move.from_uci('e7e5')}
{'state': 'rnbqkb1r/ppp2ppp/5n2/P3p3/1P1P4/2p5/2P1PPPP/1RBQKBNR b Kkq - 0 6', 'move1': Move.from_uci('a4a5')}
{'state': 'rn1qkb1r/ppp2ppp/5n2/P3pb2/1P1P4/2p5/2P1PPPP/1RBQKBNR w Kkq - 1 7', 'move2': Move.from_uci('c8f5')}
{'state': 'rn1qkb1r/ppp2ppp/5n2/P3pb2/1P1P4/2p2P2/2P1P1PP/1RBQKBNR b Kkq - 0 7', 'move1': Move.from_uci('f2f3')}
{'state': 'r2qkb1r/ppp2ppp/2n2n2/P3pb2/1P1P4/2p2P2/2P1P1PP/1RBQKBNR w Kkq - 1 8', 'move2': Move.from_uci('b8c6')}
{'state': 'r2qkb1r/ppp2ppp/2n2n2/P3pb2/1P1P4/2p1PP2/2P3PP/1RBQKBNR b Kkq - 0 8', 'move1': Move.from_uci('e2e3')}
{'state': 'r2qkb1r/ppp2ppp/5n2/P3pb2/1n1P4/2p1PP2/2P3PP/1RBQKBNR w Kkq - 0 9', 'move2': Move.from_uci('c6b4')}
{'state': 'r2qkb1r/ppp2ppp/5n2/P3pb2/1n1P2P1/2p1PP2/2P4P/1RBQKBNR b Kkq - 0 9', 'move1': Move.from_uci('g2g4')}
{'state': 'r2qkb1r/ppp2ppp/5n2/P3p3/1n1P2P1/2p1PP2/2b4P/1RBQKBNR w Kkq - 0 10', 'move2': Move.from_uci('f5c2')}
{'state': 'r2qkb1r/ppp2ppp/5n2/P3p3/1n1P2PP/2p1PP2/2b5/1RBQKBNR b Kkq - 0 10', 'move1': Move.from_uci('h2h4')}
{'state': 'r2qkb1r/ppp2ppp/5n2/P3p3/1n1P2PP/2p1PP2/8/1RBbKBNR w Kkq - 0 11', 'move2': Move.from_uci('c2d1')}
{'state': 'r2qkb1r/ppp2ppp/5n2/P3p3/1n1PP1PP/2p2P2/8/1RBbKBNR b Kkq - 0 11', 'move1': Move.from_uci('e3e4')}
{'state': 'r3kb1r/ppp2ppp/5n2/P3p3/1n1qP1PP/2p2P2/8/1RBbKBNR w Kkq - 0 12', 'move2': Move.from_uci('d8d4')}
{'state': 'r3kb1r/ppp2ppp/5n2/P3p3/1n1qP1PP/2p2P2/1R6/2BbKBNR b Kkq - 1 12', 'move1': Move.from_uci('b1b2')}
{'state': 'r3kb1r/ppp2ppp/5n2/P3p3/1n1qP1PP/5P2/1p6/2BbKBNR w Kkq - 0 13', 'move2': Move.from_uci('c3b2')}
{'state': 'r3kb1r/ppp2ppp/5n2/P3p3/1n1qP1PP/5P2/1p1B4/3bKBNR b Kkq - 1 13', 'move1': Move.from_uci('c1d2')}
{'state': 'r3kb1r/ppp2ppp/5n2/P3p3/3qP1PP/5P2/1pnB4/3bKBNR w Kkq - 2 14', 'move2': Move.from_uci('b4c2')}
{'state': 'r3kb1r/ppp2ppp/5n2/P3p3/3qP1PP/5P2/1pnB4/3K1BNR b kq - 0 14', 'move1': Move.from_uci('e1d1')}
{'state': 'r3kb1r/ppp2ppp/5n2/P3p3/3qP1PP/5P2/2nB4/1q1K1BNR w kq - 0 15', 'move2': Move.from_uci('b2b1q')}
{'state': 'r3kb1r/ppp2ppp/5n2/P3p3/3qP1PP/5P2/2nBK3/1q3BNR b kq - 1 15', 'move1': Move.from_uci('d1e2')}
{'state': 'r3kb1r/ppp2ppp/5n2/Pq2p3/3qP1PP/5P2/2nBK3/5BNR w kq - 2 16', 'move2': Move.from_uci('b1b5')}
{'state': 'r3kb1r/ppp2ppp/5n2/Pq2p3/3qP1PP/5P2/2nB4/3K1BNR b kq - 3 16', 'move1': Move.from_uci('e2d1')}
{'state': 'r3kb1r/ppp2ppp/5n2/Pq2p3/3qP1PP/4nP2/3B4/3K1BNR w kq - 4 17', 'move2': Move.from_uci('c2e3')}
{'state': 'r3kb1r/ppp2ppp/5n2/Pq2p3/3qP1PP/4nP2/3B4/4KBNR b kq - 5 17', 'move1': Move.from_uci('d1e1')}
{'state': 'r3kb1r/ppp2ppp/5n2/P3p3/3qP1PP/4nP2/3B4/4KqNR w kq - 0 18', 'move2': Move.from_uci('b5f1')}
END OF GAME, AGENT 2 (Winner.BLACK) won{'state': 'rnbqkbnr/pppppppp/8/8/8/2N5/PPPPPPPP/R1BQKBNR b KQkq - 1 1', 'move1': Move.from_uci('b1c3')}
{'state': 'rnbqkbnr/ppp1pppp/8/3p4/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 0 2', 'move2': Move.from_uci('d7d5')}
{'state': 'rnbqkbnr/ppp1pppp/8/3p4/8/2N5/PPPPPPPP/1RBQKBNR b Kkq - 1 2', 'move1': Move.from_uci('a1b1')}
{'state': 'rnbqkbnr/ppp1pppp/8/8/3p4/2N5/PPPPPPPP/1RBQKBNR w Kkq - 0 3', 'move2': Move.from_uci('d5d4')}
{'state': 'rnbqkbnr/ppp1pppp/8/8/P2p4/2N5/1PPPPPPP/1RBQKBNR b Kkq - 0 3', 'move1': Move.from_uci('a2a4')}
{'state': 'rnbqkbnr/ppp1pppp/8/8/P7/2p5/1PPPPPPP/1RBQKBNR w Kkq - 0 4', 'move2': Move.from_uci('d4c3')}
{'state': 'rnbqkbnr/ppp1pppp/8/8/PP6/2p5/2PPPPPP/1RBQKBNR b Kkq - 0 4', 'move1': Move.from_uci('b2b4')}
{'state': 'rnbqkbnr/1pp1pppp/8/p7/PP6/2p5/2PPPPPP/1RBQKBNR w Kkq - 0 5', 'move2': Move.from_uci('a7a5')}
{'state': 'rnbqkbnr/1pp1pppp/8/p7/PP1P4/2p5/2P1PPPP/1RBQKBNR b Kkq - 0 5', 'move1': Move.from_uci('d2d4')}
{'state': 'rnbqkbnr/1pp1pppp/8/8/Pp1P4/2p5/2P1PPPP/1RBQKBNR w Kkq - 0 6', 'move2': Move.from_uci('a5b4')}
{'state': 'rnbqkbnr/1pp1pppp/8/8/Pp1P4/2p4P/2P1PPP1/1RBQKBNR b Kkq - 0 6', 'move1': Move.from_uci('h2h3')}
